	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G3-PF1	0.0	0.17608460727920908	0.18286461187522587	0.17690676228875854	0.16993665021546275	0.164844603322009	0.2185309755269782	0.18016918160800766	0.1777852617438969	0.16593119911386758	0.17071689416230132	0.31576966816911883	0.23290595319561153	0.16331787580158866	0.09410634322328432	0.17619671362551403	0.18311941228357356	0.1369827869003038	0.15844166803387583	0.1715059149213009	0.17666241517472794	0.19672458971126702	0.16314828790064842	0.1510667307398514
G3-PF10	0.17608460727920908	0.0	0.09745834251236903	0.041013314005360006	0.1072938955999373	0.08458467541374291	0.17946619383432785	0.10200802698160219	0.10147979379322468	0.061212565073365005	0.11954307825390595	0.30791062853104445	0.2203733233421932	0.1020346103375497	0.13013911175239584	0.07211337925653029	0.09171143923098701	0.11409490684304008	0.08031506944047508	0.04586542516363227	0.04135541412204273	0.1191629931406493	0.06864392587067529	0.08838638159107014
G3-PF11	0.18286461187522587	0.09745834251236903	0.0	0.1011628167446092	0.06191551879583594	0.037969517951218675	0.18108238078151276	0.07170224947254072	0.039009532304489544	0.053136114988727536	0.09848665221171124	0.28792845515743826	0.2249941482707792	0.09396860376207629	0.09410777452540732	0.04114534267781326	0.04565291456881801	0.09603004697333117	0.048842438078645384	0.07750236005531079	0.11014234186408779	0.09138911699434132	0.046054413861771594	0.10123913861918411
G3-PF12	0.17690676228875854	0.041013314005360006	0.1011628167446092	0.0	0.11667637639298774	0.10842415255329996	0.1606142050987404	0.1036383318834717	0.12001677909392057	0.08079227230724913	0.12087518857465257	0.29387057207006834	0.21451629902553293	0.10351201499783082	0.14012806010041612	0.08707977041884814	0.09605284884343274	0.12163030429992269	0.09998306207901561	0.05521610911162501	0.03437820426090817	0.13884273183727736	0.09510177468386373	0.112722852882775
G3-PF13	0.16993665021546275	0.1072938955999373	0.06191551879583594	0.11667637639298774	0.0	0.060800499357944744	0.1711073573935029	0.06426072142261657	0.061962238427474205	0.056664693988267505	0.06928674760759958	0.27165235601484516	0.20407674278036828	0.08658452408247942	0.08232675507675007	0.06904465378470258	0.05724765073516183	0.07888422756885263	0.05334146530882774	0.09214181387615981	0.11526659629070146	0.08809760206279198	0.06881094227416393	0.08361471341743952
G3-PF14	0.164844603322009	0.08458467541374291	0.037969517951218675	0.10842415255329996	0.060800499357944744	0.0	0.20824750208754192	0.07461198748025294	0.023211447115465668	0.04623099479513083	0.10388179644372748	0.3012580977993462	0.22018229273956216	0.09627631240102258	0.07908954874290984	0.029632655562400072	0.04675769790473774	0.08409709585330516	0.028073138263127195	0.0728430471075986	0.10513102184979353	0.08287728289052748	0.023217953236212212	0.07521765204584313
G3-PF2	0.2185309755269782	0.17946619383432785	0.18108238078151276	0.1606142050987404	0.1711073573935029	0.20824750208754192	0.0	0.15554784995954485	0.21058205332279306	0.1786301832616013	0.1380437183033345	0.2152480704976361	0.18478632646293772	0.13334653747711595	0.20767835826060013	0.18903576735729075	0.1805054071013541	0.18566261720516236	0.1983475339845278	0.16206771687154692	0.16050837767532847	0.22629041412999248	0.1967909405498213	0.1996316337039634
G3-PF3	0.18016918160800766	0.10200802698160219	0.07170224947254072	0.1036383318834717	0.06426072142261657	0.07461198748025294	0.15554784995954485	0.0	0.08345076916261068	0.07010395827448372	0.08114448571293727	0.2639456712621863	0.18788088543486245	0.07164743650372342	0.0974196575035524	0.055214967085523814	0.05738507491502426	0.07902176000778093	0.0725192952192347	0.06749999620158931	0.09357117364968177	0.10042019062925801	0.07046105255188848	0.09580593450033098
G3-PF4	0.1777852617438969	0.10147979379322468	0.039009532304489544	0.12001677909392057	0.061962238427474205	0.023211447115465668	0.21058205332279306	0.08345076916261068	0.0	0.05269214518826016	0.10705941131264811	0.297811165360542	0.22754138450097844	0.0995679645387143	0.08813728957333379	0.04784533534595067	0.05460202652263952	0.09567165223022699	0.03831479680602599	0.08704052039350321	0.11710969948341572	0.08757700753128976	0.041025168905695845	0.09071904128026219
G3-PF5	0.16593119911386758	0.061212565073365005	0.053136114988727536	0.08079227230724913	0.056664693988267505	0.04623099479513083	0.1786301832616013	0.07010395827448372	0.05269214518826016	0.0	0.09104618388942574	0.29607598011653147	0.21366265167605827	0.0746187231554044	0.08895714226664858	0.03989992879360148	0.049602891564759846	0.08512924427022689	0.03118692182308291	0.05390754678986163	0.08133581758286615	0.07289265650101023	0.031957665351901005	0.06951259455772076
