	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J3	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L2	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-A1	0.0	0.1106553334052222	0.060591101497630334	0.013826161789666266	0.09726039692923377	0.014486363511272865	0.1758596321399242	0.04094572606590793	0.02539582976519065	0.11195154546107561	0.09946940969621137	0.04370418723768356	0.025255261057301304	0.12785076595083245	0.019088410577654234	0.021329587525336747	0.016419833700075166	0.10633865985285977	0.031235941918842876	0.11170029734563412	0.027502854328040748	0.02884156755954511	0.022982942051112207	0.007046952573682397	0.03169896839309937	0.020872491310155315	0.11999197826586236	0.006845780212063175	0.036012384885713046	0.05039765509440245	0.027056701096254927	0.027474337150666855	0.2998683214245642	0.30168901989683633	0.318189685236601	0.2944888444215252	0.28941053213357426	0.29220056808733236	0.25809994175453405	0.25757594922494276	0.28654783799368155	0.2625817085328565	0.30493029103994584	0.3164190762228322	0.3069674566847289	0.3112739012063034	0.3094983798931953	0.3148904241327524	0.2863723977738884	0.27555829608844057	0.2938323200853288	0.2851857613035813
G4-A10	0.1106553334052222	0.0	0.07144623448007087	0.11190607413739831	0.11731129675620051	0.11156655332082042	0.18641240423778674	0.11624518160626174	0.10828943638624089	0.036648178194725566	0.020334030797835672	0.10460075621123453	0.11098742219070555	0.12847063343176332	0.11374512375368613	0.1107166646388002	0.1126053117870967	0.0163938846746818	0.11309933004899828	0.03207662976118598	0.11360044256301349	0.1103484655797592	0.11467220834952926	0.11066465156071796	0.08055286913862737	0.11045474596097439	0.02868242824924098	0.10788016364229147	0.10766802008205568	0.10687633177866085	0.11168405661474007	0.08499359672929306	0.30055172525396384	0.30237242372623596	0.3188730890660008	0.29517224825092475	0.2900939360486884	0.266987714077279	0.2679846292242432	0.2585258810986949	0.2872312418230813	0.25666055679209526	0.30561369486934553	0.31710248005223196	0.30785094259635587	0.30845792170821257	0.310181783722595	0.3133650574867032	0.2870558016032881	0.2764891824256207	0.2945535959382759	0.28596428334818547
G4-A11	0.060591101497630334	0.07144623448007087	0.0	0.07155685771705403	0.09946053762218961	0.07187187108464309	0.2033614720687622	0.05302721042509264	0.08305340802988238	0.10520612472020616	0.07692916581051674	0.09950228603733276	0.07489259838065844	0.14650004030340782	0.050603472610128444	0.07916689409394101	0.049075635976425884	0.08190985234721032	0.04841803520903869	0.09429903192733723	0.08005029379750829	0.046960291076713255	0.051831778722251885	0.0631557215140675	0.05117763373997084	0.07991697795643488	0.09783686197337743	0.06049699363501644	0.09387151652953568	0.1093285283680732	0.07518239203727765	0.06375690863618642	0.3049565146359149	0.3067393410846395	0.32324000642440426	0.2995959736446495	0.294498725344925	0.2714303754827774	0.27666598670635084	0.26329900864977923	0.29167390322857956	0.26123993757078495	0.30999954823952275	0.3214693974106353	0.31221785995475937	0.31282483906661607	0.31454870108099836	0.31773197484510657	0.29149846300878657	0.28108749921608406	0.299015193355548	0.2903877896065993
G4-A2	0.013826161789666266	0.11190607413739831	0.07155685771705403	0.0	0.09711613355120344	0.007220951074527209	0.17649072864157164	0.05035252986245553	0.014521801799980515	0.11290753959156724	0.1009202323677578	0.032826574334226304	0.017184270662372193	0.13076173293553947	0.029015738347723165	0.008641359331589962	0.028751070170345193	0.10758940024217874	0.04209620359687814	0.112951037592096	0.021282166305236088	0.04199208750557799	0.034564667912629604	0.008849916713780806	0.0326549638664481	0.009413490068108085	0.12197458309517098	0.015248500703033931	0.026097765507825284	0.038872259167043094	0.028424381917045972	0.030920671745669058	0.3025518713729177	0.3043725698451898	0.3208732351849545	0.2971723943698786	0.29209408208192794	0.2963748129699547	0.26078349164574466	0.26025949917329616	0.28923138794203507	0.2667559534154787	0.3076138409882994	0.32002749252361506	0.310416917297149	0.31564822817115307	0.31218192984154874	0.3190646690153747	0.2899808140746714	0.278241846036794	0.29651587003368235	0.28786931125193477
G4-A4	0.09726039692923377	0.11731129675620051	0.09946053762218961	0.09711613355120344	0.0	0.09210289321773457	0.10491336191820895	0.10227496773282291	0.0948944997102524	0.15095632854048813	0.1240089169360827	0.10802170298567401	0.0994010670496172	0.059985368559733895	0.09983603950284305	0.09607951265012746	0.10006597641650251	0.1276600567103494	0.0999859759390224	0.14226514701833054	0.10001290528580015	0.09861037684626085	0.09988226862047721	0.09751416217146378	0.09397105111405168	0.09566480548906521	0.14584136074143697	0.09755518401852223	0.10197163613472957	0.11543016020573628	0.0721056990239351	0.0933293591999771	0.31652898482533837	0.318311811274063	0.33477460459028036	0.31116844383407294	0.3060711955343486	0.3072355603985784	0.2837901496492178	0.27433140212366947	0.3032463734180032	0.2798246674772435	0.3215720184289463	0.33384265667246976	0.32425101745777735	0.32891874996700976	0.3260832992468745	0.33256440935949505	0.30389065828239453	0.29229470353630954	0.3105876635449715	0.3019221687514504
G4-A5	0.014486363511272865	0.11156655332082042	0.07187187108464309	0.007220951074527209	0.09210289321773457	0.0	0.17038744202182024	0.05096373922772382	0.020335128681649054	0.11189565734397768	0.10068140922566696	0.03858510899917935	0.02171122403641463	0.1242994079166265	0.03007569475840759	0.0152451942030577	0.0289954052366774	0.10709883347101287	0.04262149921524256	0.11223390151761957	0.025268612750871576	0.0425173825239424	0.03614790317498394	0.009794671280807797	0.03196897002478259	0.016508569142383366	0.12143366770104719	0.014951293646618248	0.030727370224483245	0.04448230166152939	0.022502963651676654	0.0305682206300979	0.3032853084778091	0.30510600695008117	0.3216066722898458	0.29790583147477007	0.29282751918681915	0.2956576773811926	0.261516928750636	0.2609929362781875	0.28996482504692633	0.26603881782671657	0.30834727809319074	0.31983606327607705	0.3105845258202011	0.3149310925823908	0.3129153669464401	0.31855781596310223	0.2897893848271333	0.27897528314168535	0.2972493071385737	0.2886027483568262
G4-A6	0.1758596321399242	0.18641240423778674	0.2033614720687622	0.17649072864157164	0.10491336191820895	0.17038744202182024	0.0	0.19029445554204832	0.1734937346638	0.15825800579190233	0.16946308329359136	0.17137488476555554	0.17775196802978735	0.0641534670665951	0.1783964410710195	0.17530131982868777	0.17895919267220867	0.17064936717257378	0.17969753144487616	0.16316002147034825	0.17852287687479676	0.18085886600047063	0.17939018363827786	0.17642806831966598	0.17271993572649255	0.1750394005508619	0.1662562606296263	0.1761721540908044	0.17432734504290484	0.17126090411489256	0.15120976881964934	0.17193718598245408	0.32257990810505366	0.3244006065773258	0.34090127191709046	0.3172004311020145	0.3121221188140638	0.3127879243411516	0.2809440804602966	0.28028753590543215	0.309259424674171	0.2853770314198168	0.32764187772043535	0.3394897006739117	0.3296790433652183	0.33438464789799816	0.3322099665736847	0.3382114533609369	0.3094430222249679	0.2982698827689299	0.3165439067658183	0.30789734798407076
G4-A7	0.04094572606590793	0.11624518160626174	0.05302721042509264	0.05035252986245553	0.10227496773282291	0.05096373922772382	0.19029445554204832	0.0	0.06385121576658798	0.1334686432663056	0.10667721487840288	0.08146824758261745	0.059893604557795195	0.14351832559162256	0.023145689619091695	0.05899388847975978	0.027348673766619928	0.112079703159358	0.013167465463461125	0.12547610509469265	0.0624644106659526	0.025690867450308432	0.01914960672870889	0.04341462523117946	0.06096175996354083	0.05898003012607155	0.1289543979344895	0.046144466626622596	0.0749739863833158	0.08865896044765932	0.05836171544278531	0.06791609372665627	0.30601099104567	0.3078316895179421	0.32433235485770673	0.30063151404263094	0.2955532017546802	0.2989090662902775	0.26449020360821857	0.2637186195031913	0.29269050761478727	0.2692902074786588	0.3110729606610516	0.32256174584393793	0.3133102083880619	0.3181824814914757	0.3156410495143009	0.3215989223356975	0.29251506739499417	0.28170096628097474	0.2999749897064345	0.29132843098182987
G4-B1	0.02539582976519065	0.10828943638624089	0.08305340802988238	0.014521801799980515	0.0948944997102524	0.020335128681649054	0.1734937346638	0.06385121576658798	0.0	0.10938915081239983	0.09666033039451631	0.01899838580785897	0.020608106707445634	0.12714509532723914	0.0417785036997432	0.006508132071140145	0.04078905153787736	0.10397276263387842	0.054141430876665786	0.10889121798679623	0.024546035126424833	0.054237396696164356	0.048215064569666344	0.0217638386814429	0.03455755849858722	0.007551251387291629	0.11791476348987125	0.026367435186535216	0.013290342873504852	0.026294020087087575	0.03642905374502463	0.02763977487501834	0.30093128876104885	0.302751987233321	0.31925265257308566	0.2955518117580098	0.29047349947005896	0.2932635354238171	0.2591629090338758	0.2586389165614273	0.2876108053301662	0.26364467586934115	0.30599325837643054	0.3174820435593168	0.30803042402121356	0.3123368685427882	0.3105613472296799	0.3159533914692372	0.2874353651103731	0.2766212634249251	0.2948952874218135	0.286248728640066
G4-B10	0.11195154546107561	0.036648178194725566	0.10520612472020616	0.11290753959156724	0.15095632854048813	0.11189565734397768	0.15825800579190233	0.1334686432663056	0.10938915081239983	0.0	0.02862950444217731	0.10648646012759985	0.11297137507906098	0.10663257876563945	0.11455009243530345	0.11142338411985601	0.11331203112529536	0.023371869654296627	0.12269682753367851	0.015471135329704257	0.11626967862038536	0.12149456674052889	0.11824981180476045	0.11255035544851184	0.08129757059660032	0.11224220113392108	0.016098223941953243	0.1089358786977959	0.10837473939168288	0.10758305108828806	0.11239077589579587	0.08570031649606313	0.29829770791148447	0.3001184063837566	0.3166190717235214	0.29291823090844543	0.28783991862049474	0.26473369673479974	0.25675721721724293	0.25600533571186307	0.28497722448060187	0.25417799281075204	0.3033596775268662	0.3148484627097526	0.3055969252538766	0.30620390436573325	0.30792776638011554	0.3111110401442238	0.2848017842608087	0.2739876825753608	0.2922617065722491	0.2836151477905017
